"X","Y","Z","TimeStep1 - u","TimeStep1 - v"
-0.0,-0.0,0.0,-4.2335091489689916e-05,-0.0001561215458586179
-0.0,1.0,0.0,-4.233393016821711e-05,-0.00015626922125120857
1.0,-0.0,0.0,-2.8324317624397976e-05,-0.00013116516969128536
-1.0,0.0,0.0,-5.634610807231761e-05,-0.00013113385488254157
-1.0,1.0,0.0,-2.514995344281391e-05,-0.00013281883944119756
1.0,1.0,0.0,-5.949756224310806e-05,-0.00013284516500999938
2.0,0.0,0.0,-2.466345447819364e-05,-7.204725223002792e-05
-2.0,0.0,0.0,-6.000210365537603e-05,-7.20342136243187e-05
-2.0,1.0,0.0,-1.4427974381344304e-05,-7.528914658881257e-05
2.0,1.0,0.0,-7.024549288971754e-05,-7.530427194262607e-05
3.0,0.0,0.0,-3.250319787661588e-05,2.4780880571901284e-10
-3.0,0.0,0.0,-5.214843594830083e-05,1.2814660753217113e-09
-3.0,1.0,0.0,-1.524342207867514e-05,-1.0820378862122159e-05
3.0,1.0,0.0,-6.9426302881444e-05,-1.083063298024439e-05
-4.0,0.0,0.0,-4.243949195277148e-05,-1.5813337782211328e-09
4.0,0.0,0.0,-4.222319167531701e-05,-1.6394227564534017e-09
-2.9,0.1,0.0,-4.795415378984272e-05,-6.985398234614565e-06
-2.1,0.9,0.0,-1.985777975890123e-05,-6.990022848969471e-05
-1.1,0.9,0.0,-2.8156946749904032e-05,-0.0001295575171422842
-0.1,0.9,0.0,-4.157287234800408e-05,-0.00015639899638772946
-0.9,0.1,0.0,-5.0825864876267285e-05,-0.00013605625602964493
-1.9,0.1,0.0,-5.442167005195769e-05,-7.748279300091194e-05
-1.9,0.8,0.0,-2.4356081480780814e-05,-8.056073550585444e-05
-1.8,0.9,0.0,-2.0151624836331205e-05,-8.637904937923365e-05
-1.2,0.1,0.0,-5.279729221339974e-05,-0.00012117032872487406
-1.1,0.2,0.0,-4.807274427706373e-05,-0.0001271051380526879
-2.9,0.8,0.0,-2.3144354949161813e-05,-1.4518026336136036e-05
-2.8,0.9,0.0,-1.8662812306827107e-05,-2.0795836227574653e-05
-2.1,0.2,0.0,-5.009910940692205e-05,-6.679587780246944e-05
-2.2,0.1,0.0,-5.456715712920167e-05,-6.055399444283536e-05
-0.9,0.8,0.0,-3.149560902475761e-05,-0.00013627054211336534
-0.8,0.9,0.0,-2.9838188228339827e-05,-0.00013898451645978538
-0.2,0.1,0.0,-4.418780931141502e-05,-0.00015564510389038698
-0.1,0.2,0.0,-4.258258156206426e-05,-0.0001566221422647785
0.1,0.9,0.0,-4.30766986545671e-05,-0.0001563759435859557
0.9,0.1,0.0,-3.383609830231104e-05,-0.00013608023662442937
1.1,0.9,0.0,-5.649560853152567e-05,-0.00012958880575109847
1.9,0.1,0.0,-3.025031111261393e-05,-7.750238196217821e-05
2.1,0.9,0.0,-6.479144797776613e-05,-6.99008564833664e-05
2.9,0.1,0.0,-3.672428702779982e-05,-7.014408275766544e-06
0.8,0.9,0.0,-5.4830901787334295e-05,-0.00013900751385324546
0.9,0.8,0.0,-5.316281639927388e-05,-0.0001363009361750961
0.1,0.2,0.0,-4.2089456993620907e-05,-0.00015662179084140925
0.2,0.1,0.0,-4.048087811830513e-05,-0.00015563902014165652
1.8,0.9,0.0,-6.447797152737102e-05,-8.641669884410377e-05
1.9,0.8,0.0,-6.029350181063801e-05,-8.057691278642023e-05
1.1,0.2,0.0,-3.6580523983539486e-05,-0.000127131402180127
1.2,0.1,0.0,-3.186441822159122e-05,-0.00012121390910030676
2.1,0.2,0.0,-3.454357319629458e-05,-6.682648627754964e-05
2.2,0.1,0.0,-3.0095460887290682e-05,-6.059941958374776e-05
2.8,0.9,0.0,-6.6011258974432e-05,-2.0799653172188146e-05
2.9,0.8,0.0,-6.153264611320968e-05,-1.4527654912350911e-05
-3.1,1.0,-0.0,-1.6022820046934976e-05,-7.156362866997312e-06
-4.0,0.1,-0.0,-4.205936097915797e-05,6.623066072588737e-07
-3.1,0.8,-0.0,-2.390262338066597e-05,-6.377029433368592e-06
-3.8,0.1,-0.0,-4.2829520269256455e-05,4.2000615277458943e-07
-3.1,0.1,-0.0,-4.90966732345743e-05,4.084606467446878e-07
3.1,1.0,0.0,-6.864666846599571e-05,-7.171608404098865e-06
4.0,0.1,0.0,-4.2602340592041864e-05,6.642952732175627e-07
3.1,0.1,0.0,-3.5578145823916985e-05,4.0613513477329697e-07
3.8,0.1,0.0,-4.183220637960187e-05,4.2085229261955856e-07
3.1,0.8,0.0,-6.077641410385737e-05,-6.3974255226976595e-06
-2.9,0.1388888888888215,0.0,-4.64655198599865e-05,-6.989045358605731e-06
-2.9,0.177777777777655,0.0,-4.5096332097769955e-05,-7.201580956220272e-06
-2.9,0.2166666666664464,0.0,-4.376485559907778e-05,-7.522252618645936e-06
-2.9,0.2555555555552245,0.0,-4.24447656052351e-05,-7.880321965046962e-06
-2.9,0.294444444443952,0.0,-4.111724233430865e-05,-8.255583798685057e-06
-2.9,0.3333333333327482,0.0,-3.978680793330615e-05,-8.64557723449848e-06
-2.9,0.372222222221507,0.0,-3.845563273659318e-05,-9.043597361236138e-06
-2.9,0.4111111111102418,0.0,-3.712434264554447e-05,-9.449560671596392e-06
-2.9,0.4499999999990247,0.0,-3.578754314377029e-05,-9.862254291517718e-06
-2.9,0.4888888888880268,0.0,-3.4443124965827605e-05,-1.0283355260090381e-05
-2.9,0.5277777777770072,0.0,-3.309028140509907e-05,-1.071496449919199e-05
-2.9,0.5666666666659947,0.0,-3.1723632943743717e-05,-1.1151490979911225e-05
-2.9,0.6055555555550112,0.0,-3.034128838280637e-05,-1.1596209865412092e-05
-2.9,0.6444444444440037,0.0,-2.8943625089484586e-05,-1.205686277713256e-05
-2.9,0.6833333333330153,0.0,-2.7540671093188697e-05,-1.2529179025206638e-05
-2.9,0.7222222222219957,0.0,-2.612509383933315e-05,-1.3037997636904307e-05
