"X","Y","Z","TimeStep1 - u","TimeStep1 - v"
2.0,0.0,0.0,-0.00011790134375949612,-3.804252750433379e-05
-2.0,0.0,0.0,-0.00016301531979721006,-3.9797057439511045e-05
2.0,-2.0,-0.0,-6.557066412889443e-05,-3.7818260802037435e-09
3.0,-2.0,-0.0,-6.468099770996892e-05,-5.172536828994357e-09
-3.0,-2.0,-0.0,-0.0002187657618669972,-3.7059933590112834e-09
-2.0,-2.0,-0.0,-0.0002178564484121973,3.3296696179122343e-09
0.1,0.9,0.0,-0.00013657611045221065,-0.00013448013400561257
-0.1,0.9,0.0,-0.00013490965060719876,-0.00013447363179589235
0.9,0.1,0.0,-0.00012630545827559757,-0.00011279193392300517
-0.9,0.1,0.0,-0.000146232284705132,-0.00011330424357357941
1.1,0.9,0.0,-0.00015089254755469008,-0.00010603753482200095
1.9,0.1,0.0,-0.00012545196347337734,-4.6390281930430005e-05
-1.9,0.9,0.0,-0.0001191576142658652,-4.616441530869112e-05
-1.1,0.1,0.0,-0.00014813344131919134,-0.00010760562175953764
2.1,0.1,0.0,-0.00012364666886656832,-3.291416136800843e-05
-2.1,0.1,0.0,-0.0001564282938114472,-3.34965944906051e-05
2.1,-0.9,0.0,-8.403768765787828e-05,-1.7480097110734678e-05
2.9,-0.1,0.0,-0.00011423866832478249,-1.2398609544653586e-06
-2.1,-0.9,0.0,-0.00019866327225939352,-1.8069359123950093e-05
-2.9,-0.1,0.0,-0.0001666425968443663,-5.955336182987756e-07
2.1,-1.9,0.0,-6.543439383308878e-05,-9.010371663302153e-07
2.9,-1.1,0.0,-7.871303291599787e-05,-1.1542480231078073e-06
-2.1,-1.9,0.0,-0.000218002816258994,-9.363404979861237e-07
-2.9,-1.1,0.0,-0.00020418709206743887,-7.973759211314625e-07
0.1,0.2,0.0,-0.00013585927709149564,-0.00013472542905459397
0.2,0.1,0.0,-0.00013418804133827483,-0.0001336519780691934
-0.1,0.2,0.0,-0.00013638384462794317,-0.00013460072997543794
-0.2,0.1,0.0,-0.00013806330483264378,-0.00013349216097193815
0.9,0.8,0.0,-0.00014693344218606844,-0.00011406861195223616
0.8,0.9,0.0,-0.00014899808998239562,-0.00011712378457389027
-0.8,0.9,0.0,-0.0001228106806120841,-0.0001168819810182377
-0.9,0.8,0.0,-0.00012561714338012728,-0.00011332526426932527
1.2,0.1,0.0,-0.0001238051075511127,-9.962333295315595e-05
