Element,Facet,X1,Y1,X2,Y2,time_step_0 - q''x,time_step_0 - q''y,time_step_0 - q'',time_step_1 - q''x,time_step_1 - q''y,time_step_1 - q''
0,0,0.0,0.0,0.06666666666666668,0.0,100000000000000.23,-0.0,100000000000000.23,100000000000000.25,-0.0,100000000000000.25
0,1,0.06666666666666668,0.0,0.06666666666666668,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.0
0,2,0.06666666666666668,0.06666666666666668,0.0,0.06666666666666668,99999999999999.88,0.0,99999999999999.88,99999999999999.88,0.0,99999999999999.88
0,3,0.0,0.06666666666666668,0.0,0.0,-0.0,0.125,0.125,-0.0,0.125,0.125
1,0,0.06666666666666668,0.0,0.13333333333333333,0.0,99999999999999.77,-0.0,99999999999999.77,99999999999999.75,-0.0,99999999999999.75
1,1,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666668,0.0,0.125,0.125,0.0,0.125,0.125
1,2,0.13333333333333333,0.06666666666666668,0.06666666666666668,0.06666666666666668,100000000000000.0,0.0,100000000000000.0,100000000000000.0,0.0,100000000000000.0
1,3,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.0,0.0,-0.125,0.125,0.0,-0.125,0.125
2,0,0.13333333333333333,0.0,0.2,0.0,100000000000000.23,-0.0,100000000000000.23,100000000000000.25,-0.0,100000000000000.25
2,1,0.2,0.0,0.2,0.06666666666666668,0.0,0.25,0.25,0.0,0.25,0.25
2,2,0.2,0.06666666666666668,0.13333333333333333,0.06666666666666668,100000000000000.0,0.0,100000000000000.0,100000000000000.0,0.0,100000000000000.0
2,3,0.13333333333333333,0.06666666666666668,0.13333333333333333,0.0,-0.0,0.25,0.25,-0.0,0.25,0.25
3,0,0.2,0.0,0.26666666666666666,0.0,99999999999999.88,-0.0,99999999999999.88,99999999999999.88,-0.0,99999999999999.88
3,1,0.26666666666666666,0.0,0.26666666666666666,0.06666666666666668,0.0,0.0,0.0,0.0,0.0,0.0
3,2,0.26666666666666666,0.06666666666666668,0.2,0.06666666666666668,99999999999999.69,0.0,99999999999999.69,99999999999999.69,0.0,99999999999999.69
3,3,0.2,0.06666666666666668,0.2,0.0,-0.0,0.125,0.125,-0.0,0.125,0.125
4,0,0.26666666666666666,0.0,0.3333333333333333,0.0,100000000000000.12,-0.0,100000000000000.12,100000000000000.12,-0.0,100000000000000.12
4,1,0.3333333333333333,0.0,0.3333333333333333,0.06666666666666668,0.0,0.25,0.25,0.0,0.25,0.25
4,2,0.3333333333333333,0.06666666666666668,0.26666666666666666,0.06666666666666668,100000000000000.12,0.0,100000000000000.12,100000000000000.12,0.0,100000000000000.12
4,3,0.26666666666666666,0.06666666666666668,0.26666666666666666,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
5,0,0.3333333333333333,0.0,0.4,0.0,100000000000000.2,0.1665334536937738,100000000000000.2,100000000000000.19,0.1665334536937738,100000000000000.19
5,1,0.4,0.0,0.4,0.06666666666666668,0.0,0.375,0.375,0.0,0.375,0.375
5,2,0.4,0.06666666666666668,0.3333333333333333,0.06666666666666668,100000000000000.06,-0.1665334536937736,100000000000000.06,100000000000000.06,-0.1665334536937736,100000000000000.06
5,3,0.3333333333333333,0.06666666666666668,0.3333333333333333,0.0,-0.0,0.375,0.375,-0.0,0.375,0.375
6,0,0.4,0.0,0.4666666666666667,0.0,100000000000000.12,-0.0,100000000000000.12,100000000000000.12,-0.0,100000000000000.12
6,1,0.4666666666666667,0.0,0.4666666666666667,0.06666666666666668,-0.0,-0.125,0.125,-0.0,-0.125,0.125
6,2,0.4666666666666667,0.06666666666666668,0.4,0.06666666666666668,99999999999999.77,0.0,99999999999999.77,99999999999999.75,0.0,99999999999999.75
6,3,0.4,0.06666666666666668,0.4,0.0,-0.0,0.25,0.25,-0.0,0.25,0.25
7,0,0.4666666666666667,0.0,0.5333333333333333,0.0,100000000000000.2,-0.0,100000000000000.2,100000000000000.19,-0.0,100000000000000.19
7,1,0.5333333333333333,0.0,0.5333333333333333,0.06666666666666668,-0.0,-0.125,0.125,-0.0,-0.125,0.125
7,2,0.5333333333333333,0.06666666666666668,0.4666666666666667,0.06666666666666668,100000000000000.38,0.0,100000000000000.38,100000000000000.38,0.0,100000000000000.38
7,3,0.4666666666666667,0.06666666666666668,0.4666666666666667,0.0,0.0,-0.25,0.25,0.0,-0.25,0.25
8,0,0.5333333333333333,0.0,0.6,0.0,100000000000000.06,-0.0,100000000000000.06,100000000000000.06,-0.0,100000000000000.06
8,1,0.6,0.0,0.6,0.06666666666666668,0.0,0.15625,0.15625,0.0,0.15625,0.15625
8,2,0.6,0.06666666666666668,0.5333333333333333,0.06666666666666668,100000000000000.12,0.0,100000000000000.12,100000000000000.12,0.0,100000000000000.12
8,3,0.5333333333333333,0.06666666666666668,0.5333333333333333,0.0,-0.0,0.0625,0.0625,-0.0,0.0625,0.0625
9,0,0.6,0.0,0.6666666666666666,0.0,100000000000000.22,-0.0,100000000000000.22,100000000000000.22,-0.0,100000000000000.22
9,1,0.6666666666666666,0.0,0.6666666666666666,0.06666666666666668,-0.0,-0.21875,0.21875,-0.0,-0.21875,0.21875
