Element,Facet,X1,Y1,X2,Y2,time_step_0,time_step_1,time_step_2,time_step_3,time_step_4,time_step_5,time_step_6,time_step_7,time_step_8,time_step_9,time_step_10,time_step_11,time_step_12,time_step_13,time_step_14,time_step_15,time_step_16,time_step_17,time_step_18,time_step_19,time_step_20,time_step_21,time_step_22,time_step_23,time_step_24,time_step_25,time_step_26,time_step_27,time_step_28,time_step_29,time_step_30,time_step_31,time_step_32,time_step_33,time_step_34,time_step_35,time_step_36,time_step_37,time_step_38,time_step_39,time_step_40,time_step_41,time_step_42,time_step_43,time_step_44,time_step_45,time_step_46,time_step_47,time_step_48,time_step_49,time_step_50,time_step_51,time_step_52,time_step_53,time_step_54,time_step_55,time_step_56,time_step_57,time_step_58,time_step_59,time_step_60,time_step_61,time_step_62,time_step_63,time_step_64,time_step_65,time_step_66,time_step_67,time_step_68,time_step_69,time_step_70,time_step_71,time_step_72,time_step_73,time_step_74,time_step_75,time_step_76,time_step_77,time_step_78,time_step_79,time_step_80,time_step_81,time_step_82,time_step_83,time_step_84,time_step_85,time_step_86,time_step_87
0,0,0.0,0.0,0.06666666666666668,0.0,-291497.17729816947,-606579.233471642,-870665.930077791,-1078040.904442565,-1237671.9431694143,-1359747.7961908483,-1452895.2569546038,-1523914.518311296,-1578047.7865353806,-1619306.1036921588,-1650750.5910003374,-1674715.3216057855,-1692979.4456816441,-1706898.9747079508,-1717507.378009301,-1725592.2924718175,-1731753.9961843537,-1736449.975595851,-1740028.8919968754,-1742756.4683874662,-1744835.2185247734,-1746419.4829094303,-1747626.88806851,-1748547.079945723,-1749248.3798238232,-1749782.8569597313,-1750190.194559139,-1750500.6361266873,-1750737.2309487753,-1750917.545428829,-1751054.9673361632,-1751159.699804735,-1751239.518882974,-1751300.350880326,-1751346.7123766453,-1751382.0455636918,-1751408.9738167904,-1751429.4964719913,-1751445.1372703372,-1751457.0574907213,-1751466.142171113,-1751473.065819766,-1751478.34249529,-1751482.3639738471,-1751485.428837265,-1751487.764641778,-1751489.5448133515,-1751490.9015239868,-1751491.93550508,-1751492.7235263968,-1751493.3240959812,-1751493.7818041903,-1751494.1306343856,-1751494.3964860844,-1751494.5990979169,-1751494.7535131618,-1751494.8711966532,-1751494.9608860097,-1751495.0292403786,-1751495.081334852,-1751495.1210372746,-1751495.1512954254,-1751495.174355874,-1751495.1919307837,-1751495.2053250368,-1751495.2155331124,-1751495.223312926,-1751495.2292421053,-1751495.233760873,-1751495.2372047326,-1751495.2398293782,-1751495.241829682,-1751495.2433541603,-1751495.2445160025,-1751495.2454014688,-1751495.2460763038,-1751495.2465906106,-1751495.2469825773,-1751495.247281304,-1751495.2475089696,-1751495.24768248,-1751495.2478147154,-1751495.2479154954,-1751495.2479923025,-1751495.2480508394,-1751495.2480954516,-1751495.24812945,-1751495.2481553638
1,1,0.06666666666666668,0.0,0.06666666666666668,0.06666666666666668,-97165.72576605636,-202193.0778238804,-290221.97669259674,-359346.9681475215,-412557.31438980455,-453249.2653969489,-484298.4189848674,-507971.50610376475,-526015.9288451264,-539768.701230719,-550250.1970001119,-558238.4405352613,-564326.4818938806,-568966.3249026497,-572502.459336433,-575197.4308239386,-577251.3320614505,-578816.6585319497,-580009.6306656244,-580918.8227958214,-581611.7395082571,-582139.8276364761,-582542.2960228359,-582849.0266485737,-583082.793274607,-583260.9523199099,-583396.7315197125,-583500.2120422284,-583579.0769829246,-583639.1818096089,-583684.9891120539,-583719.8999349109,-583746.506294324,-583766.7836267747,-583782.237458881,-583794.0151878968,-583802.9912722628,-583809.8321573299,-583815.0457567783,-583819.0191635732,-583822.0473903705,-583824.3552732548,-583826.1141650961,-583827.4546579482,-583828.4762790877,-583829.2548805921,-583829.8482711165,-583830.300507995,-583830.6451683594,-583830.9078421318,-583831.1080319933,-583831.2606013961,-583831.3768781279,-583831.4654953608,-583831.5330326385,-583831.5845043865,-583831.623732217,-583831.6536286691,-583831.6764134589,-583831.6937782833,-583831.7070124242,-583831.7170984746,-583831.7247852908,-583831.7306435939,-583831.735108345,-583831.7385110368,-583831.7411043082,-583831.7430807011,-583831.7445869572,-583831.7457349101,-583831.746609792,-583831.74727656,-583831.7477847196,-583831.7481720003,-583831.7484671555,-583831.7486921006,-583831.7488635363,-583831.7489941918,-583831.7490937674,-583831.749169656,-583831.7492274927,-583831.7492715712,-583831.7493051643,-583831.7493307671,-583831.7493502792,-583831.7493651499,-583831.7493764827,-583831.7493851207
2,2,0.06666666666666668,0.06666666666666668,0.0,0.06666666666666668,97165.7257660559,202193.07782387946,290221.97669259517,359346.9681475196,412557.3143898024,453249.2653969466,484298.418984865,507971.50610376225,526015.9288451236,539768.7012307163,550250.197000109,558238.4405352585,564326.4818938777,568966.3249026468,572502.4593364301,575197.4308239358,577251.3320614478,578816.6585319471,580009.6306656215,580918.8227958186,581611.7395082546,582139.8276364732,582542.2960228332,582849.0266485708,583082.793274604,583260.9523199069,583396.7315197096,583500.2120422255,583579.0769829216,583639.181809606,583684.989112051,583719.8999349081,583746.5062943212,583766.7836267715,583782.2374588782,583794.015187894,583802.99127226,583809.8321573269,583815.0457567754,583819.0191635704,583822.0473903677,583824.3552732519,583826.1141650933,583827.4546579454,583828.4762790847,583829.2548805892,583829.8482711136,583830.300507992,583830.6451683564,583830.9078421288,583831.1080319904,583831.2606013932,583831.376878125,583831.465495358,583831.5330326356,583831.5845043838,583831.6237322142,583831.6536286664,583831.676413456,583831.6937782805,583831.7070124215,583831.7170984717,583831.724785288,583831.730643591,583831.7351083421,583831.7385110339,583831.7411043053,583831.7430806983,583831.7445869542,583831.7457349071,583831.746609789,583831.7472765571,583831.7477847168,583831.7481719974,583831.7484671526,583831.7486920978,583831.7488635335,583831.748994189,583831.7490937646,583831.7491696529,583831.7492274898,583831.7492715683,583831.7493051615,583831.7493307639,583831.7493502763,583831.7493651471,583831.74937648,583831.7493851177
3,3,0.0,0.06666666666666668,0.0,0.0,291497.1772981689,606579.233471641,870665.9300777894,1078040.9044425634,1237671.9431694122,1359747.7961908458,1452895.256954601,1523914.518311293,1578047.7865353778,1619306.1036921556,1650750.5910003344,1674715.3216057825,1692979.4456816404,1706898.9747079476,1717507.3780092974,1725592.2924718144,1731753.9961843502,1736449.9755958475,1740028.891996872,1742756.4683874631,1744835.2185247703,1746419.4829094268,1747626.8880685063,1748547.0799457198,1749248.3798238197,1749782.8569597285,1750190.194559136,1750500.636126684,1750737.2309487725,1750917.545428826,1751054.9673361597,1751159.6998047316,1751239.518882971,1751300.3508803227,1751346.7123766416,1751382.045563689,1751408.9738167871,1751429.496471988,1751445.1372703342,1751457.057490718,1751466.14217111,1751473.0658197629,1751478.3424952868,1751482.363973844,1751485.4288372616,1751487.7646417746,1751489.5448133484,1751490.9015239838,1751491.9355050768,1751492.7235263938,1751493.3240959782,1751493.781804187,1751494.1306343826,1751494.3964860812,1751494.5990979138,1751494.7535131585,1751494.8711966497,1751494.9608860062,1751495.0292403754,1751495.0813348487,1751495.1210372718,1751495.1512954226,1751495.174355871,1751495.1919307804,1751495.2053250337,1751495.2155331091,1751495.2233129232,1751495.2292421022,1751495.2337608696,1751495.2372047286,1751495.2398293747,1751495.2418296786,1751495.2433541568,1751495.244515999,1751495.2454014653,1751495.246076301,1751495.2465906069,1751495.246982574,1751495.2472813006,1751495.2475089666,1751495.2476824766,1751495.2478147119,1751495.247915492,1751495.2479922997,1751495.248050836,1751495.2480954488,1751495.248129447,1751495.2481553606
0,0,0.06666666666666668,0.0,0.13333333333333333,0.0,-291249.2063147193,-606190.0288526531,-870194.4428025419,-1077514.340676598,-1237105.480464172,-1359151.4780826054,-1452276.3317881268,-1523278.402583359,-1577398.5797659615,-1618646.9226615392,-1650083.8090748764,-1674042.74705178,-1692302.456480174,-1706218.6210133368,-1716824.4601589043,-1724907.42041893,-1731067.6347880268,-1735762.4791359175,-1739340.5304782812,-1742067.4475873215,-1744145.6952706492,-1745729.576723307,-1746936.6900409022,-1747856.6594988543,-1748557.7898660027,-1749092.1378136268,-1749499.3769556037,-1749809.7434864272,-1750046.2811212637,-1750226.5520175663,-1750363.9407086982,-1750468.6478624213,-1750548.4476476184,-1750609.2649412898,-1750655.6152315869,-1750690.9398782619,-1750717.861622541,-1750738.3793172182,-1750754.016335032,-1750765.9336741844,-1750775.0161587219,-1750781.9381338612,-1750787.213533962,-1750791.234040489,-1750794.298163099,-1750796.6334030263,-1750798.413144315,-1750799.7695270204,-1750800.8032581906,-1750801.5910890354,-1750802.191513456,-1750802.6491110327,-1750802.9978569124,-1750803.2636443502,-1750803.4662072111,-1750803.6205851324,-1750803.7382401782,-1750803.8279078556,-1750803.896245703,-1750803.9483275844,-1750803.9880204115,-1750804.0182712488,-1750804.0413261226,-1750804.0588967847,-1750804.0722878003,-1750804.0824934081,-1750804.0902713416,-1750804.0961990876,-1750804.1007167632,-1750804.1041597896,-1750804.106783801,-1750804.1087836209,-1750804.110307732,-1750804.111469293,-1750804.112354545,-1750804.1130292162,-1750804.1135433996,-1750804.113935271,-1750804.1142339257,-1750804.114461537,-1750804.1146350047,-1750804.1147672085,-1750804.114867964,-1750804.1149447532,-1750804.115003276,-1750804.1150478763,-1750804.115081867,-1750804.115107774
1,1,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666668,-97083.068771573,-202063.34295088405,-290064.8142675135,-359171.44689219893,-412368.4934880567,-453050.4926942012,-484092.1105960417,-507759.46752778563,-525799.5265886532,-539548.9742205122,-550027.9363582914,-558014.2490172592,-564100.8188267238,-568739.5403377779,-572274.8200529673,-574969.1401396425,-577022.5449293414,-578587.493045305,-579780.1768260929,-580689.1491957732,-581381.8984235488,-581909.8589077679,-582312.2300136333,-582618.8864996174,-582852.5966220001,-583030.7126045414,-583166.4589852004,-583269.9144954748,-583348.7603737537,-583408.8506725214,-583454.6469028987,-583489.5492874731,-583516.1492158718,-583536.4216470958,-583551.8717438616,-583563.6466260866,-583572.6205408464,-583579.4597724053,-583584.6721116764,-583588.6445580607,-583591.6720529064,-583593.9793779531,-583595.7378446532,-583597.0780134954,-583598.0993876988,-583598.8778010079,-583599.4710481041,-583599.9231756725,-583600.2677527294,-583600.5303630108,-583600.7305044845,-583600.8830370101,-583600.9992856367,-583601.0878814494,-583601.155402403,-583601.2068617103,-583601.2460800586,-583601.2759692846,-583601.2987485668,-583601.316109194,-583601.3293401365,-583601.3394237485,-583601.3471087067,-583601.3529655943,-583601.357429266,-583601.3608311352,-583601.3634237797,-583601.3653996951,-583601.3669055868,-583601.3680532625,-583601.3689279329,-583601.3695945395,-583601.3701025766,-583601.3704897634,-583601.3707848475,-583601.371009738,-583601.3711811325,-583601.371311756,-583601.3714113077,-583601.3714871783,-583601.3715450007,-583601.3715890687,-583601.3716226539,-583601.3716482503,-583601.3716677576,-583601.3716826247,-583601.3716939548,-583601.3717025906
2,2,0.13333333333333333,0.06666666666666668,0.06666666666666668,0.06666666666666668,97083.06877157293,202063.342950884,290064.8142675133,359171.4468921987,412368.4934880564,453050.492694201,484092.1105960414,507759.46752778534,525799.526588653,539548.9742205121,550027.9363582912,558014.249017259,564100.8188267235,568739.5403377777,572274.820052967,574969.1401396422,577022.5449293412,578587.4930453047,579780.1768260925,580689.1491957727,581381.8984235484,581909.8589077676,582312.2300136329,582618.886499617,582852.5966219999,583030.7126045411,583166.4589852003,583269.9144954745,583348.7603737533,583408.8506725209,583454.6469028983,583489.5492874727,583516.1492158717,583536.4216470954,583551.8717438611,583563.6466260863,583572.6205408459,583579.4597724049,583584.6721116762,583588.6445580603,583591.6720529061,583593.9793779529,583595.737844653,583597.0780134952,583598.0993876985,583598.8778010077,583599.4710481039,583599.9231756723,583600.267752729,583600.5303630105,583600.730504484,583600.8830370097,583600.9992856364,583601.087881449,583601.1554024025,583601.2068617097,583601.2460800582,583601.2759692842,583601.2987485665,583601.3161091936,583601.3293401361,583601.3394237482,583601.3471087061,583601.3529655939,583601.3574292655,583601.3608311347,583601.3634237794,583601.3653996947,583601.3669055866,583601.368053262,583601.3689279325,583601.3695945393,583601.3701025761,583601.3704897632,583601.3707848471,583601.3710097377,583601.3711811323,583601.3713117556,583601.3714113074,583601.3714871779,583601.3715450004,583601.3715890682,583601.3716226536,583601.3716482499,583601.3716677575,583601.3716826243,583601.3716939546,583601.3717025901
3,3,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.0,291249.206314719,606190.0288526523,870194.4428025406,1077514.3406765969,1237105.4804641705,1359151.4780826035,1452276.3317881252,1523278.4025833572,1577398.57976596,1618646.9226615368,1650083.8090748747,1674042.747051778,1692302.4564801718,1706218.6210133347,1716824.4601589022,1724907.4204189281,1731067.6347880247,1735762.4791359154,1739340.5304782786,1742067.4475873194,1744145.6952706466,1745729.5767233046,1746936.6900409,1747856.6594988522,1748557.7898660009,1749092.137813625,1749499.3769556012,1749809.7434864254,1750046.2811212612,1750226.552017564,1750363.940708696,1750468.647862419,1750548.4476476163,1750609.2649412875,1750655.615231585,1750690.93987826,1750717.8616225387,1750738.3793172159,1750754.0163350296,1750765.9336741825,1750775.0161587198,1750781.938133859,1750787.2135339596,1750791.2340404869,1750794.298163097,1750796.6334030242,1750798.4131443128,1750799.7695270178,1750800.8032581885,1750801.5910890328,1750802.1915134538,1750802.6491110306,1750802.99785691,1750803.2636443484,1750803.466207209,1750803.620585131,1750803.7382401759,1750803.8279078538,1750803.896245701,1750803.9483275826,1750803.9880204096,1750804.0182712462,1750804.0413261203,1750804.0588967828,1750804.0722877982,1750804.0824934056,1750804.0902713398,1750804.0961990852,1750804.1007167608,1750804.1041597873,1750804.1067837991,1750804.108783619,1750804.1103077298,1750804.111469291,1750804.1123545426,1750804.1130292143,1750804.1135433975,1750804.1139352685,1750804.1142339234,1750804.114461535,1750804.1146350026,1750804.114767206,1750804.114867962,1750804.114944751,1750804.1150032738,1750804.1150478746,1750804.1150818646,1750804.115107772
0,0,0.13333333333333333,0.0,0.2,0.0,-291028.11207481194,-605831.489170939,-869750.56585592,-1077011.5221703732,-1236559.4315874216,-1358572.9363273953,-1451673.1472993817,-1522656.469377519,-1576762.3662372832,-1617999.8280225075,-1649428.422285334,-1673381.0407784162,-1691635.934021769,-1705548.4280382236,-1716151.4697996324,-1724232.29810817,-1730390.8876670918,-1735084.4937089782,-1738661.6013092182,-1741387.7991701874,-1743465.49869764,-1745048.9623878098,-1746255.7573187845,-1747175.4841268037,-1747876.4295647284,-1748410.6365734416,-1748817.7683025573,-1749128.0529715137,-1749364.5282174945,-1749544.7515657826,-1749682.1040194544,-1749786.7835557568,-1749866.5622930669,-1749927.36354565,-1749973.7016106555,-1750009.0169401476,-1750035.9315835831,-1750056.4438665402,-1750072.076759954,-1750083.9909558059,-1750093.0710447591,-1750099.991194167,-1750105.2652028352,-1750109.2846489185,-1750112.347963339,-1750114.6825873272,-1750116.4618591932,-1750117.8178841406,-1750118.8513426562,-1750119.6389657026,-1750120.239231756,-1750120.6967086382,-1750121.0453625326,-1750121.3110798674,-1750121.5135893002,-1750121.6679265038,-1750121.7855505159,-1750121.875194544,-1750121.9435143657,-1750121.9955825098,-1750122.0352648685,-1750122.0655077256,-1750122.0885565188,-1750122.1061225468,-1750122.1195100308,-1750122.1297129462,-1750122.137488829,-1750122.1434150112,-1750122.1479314943,-1750122.1513736132,-1750122.1539969326,-1750122.1559962255,-1750122.157519934,-1750122.158681188,-1750122.1595662069,-1750122.1602406998,-1750122.1607547489,-1750122.1611465162,-1750122.161445092,-1750122.1616726432,-1750122.1618460654,-1750122.1619782338,-1750122.1620789643,-1750122.1621557318,-1750122.1622142394,-1750122.1622588285,-1750122.1622928106,-1750122.1623187102
1,1,0.2,0.0,0.2,0.06666666666666668,-97009.3706916038,-201943.82972364602,-289916.85528530605,-359003.8407234569,-412186.4771958064,-452857.645442464,-483891.0490997929,-507552.1564591722,-525587.4554124265,-539333.2760075015,-549809.4740951101,-557793.6802594711,-563878.644673922,-568516.1426794068,-572050.4899332096,-574744.0993693888,-576796.962555696,-578361.4979029915,-579553.8671030714,-580462.5997233946,-581155.1662325455,-581682.987462602,-582085.2524395934,-582391.8280422668,-582625.476521575,-582803.5455244794,-582939.2561008511,-583042.6843238367,-583121.5094058303,-583181.5838552596,-583227.3680064835,-583262.2611852512,-583288.8540976879,-583309.1211818821,-583324.5672035505,-583336.3389800478,-583345.3105278597,-583352.1479555122,-583357.3589199836,-583361.3303186006,-583364.3570149185,-583366.6637313878,-583368.4217342772,-583369.7615496385,-583370.7826544453,-583371.5608624412,-583372.1539530632,-583372.605961379,-583372.9504475507,-583373.2129885664,-583373.4130772509,-583373.5655695449,-583373.6817875097,-583373.7703599547,-583373.8378630988,-583373.8893088334,-583373.9285168374,-583373.9583981801,-583373.981171454,-583373.9985275021,-583374.0117549549,-583374.0218359075,-583374.0295188385,-583374.0353741811,-583374.0398366756,-583374.0432376475,-583374.0458296083,-583374.0478050028,-583374.049310497,-583374.0504578698,-583374.0513323096,-583374.0519987406,-583374.0525066435,-583374.0528937283,-583374.0531887346,-583374.0534135654,-583374.0535849151,-583374.053715504,-583374.0538150293,-583374.0538908797,-583374.0539486872,-583374.0539927435,-583374.0540263202,-583374.0540519095,-583374.0540714121,-583374.0540862749,-583374.0540976024,-583374.0541062354
